dataset,method,bin,true_metric
bbh,EMBED (RR),0,41.240080110103385
bbh,EMBED (RR),1,40.52276487711485
bbh,EMBED (RR),2,38.1156833083496
bbh,EMBED (RR),3,39.01289311492029
bbh,EMBED (RR),4,38.527217678022126
bbh,EMBED (RR),5,32.67557738990889
bbh,EMBED (RR),6,37.66515736363902
bbh,EMBED (RR),7,37.64229784680854
bbh,EMBED (RR),8,37.08848197316903
bbh,EMBED (RR),9,38.23376935888231
bbh,RDS+ (RR),0,41.81967597031926
bbh,RDS+ (RR),1,39.45186488710468
bbh,RDS+ (RR),2,39.37700724678968
bbh,RDS+ (RR),3,36.283976762985176
bbh,RDS+ (RR),4,37.313989237624575
bbh,RDS+ (RR),5,35.209361165000416
bbh,RDS+ (RR),6,38.59537821027015
bbh,RDS+ (RR),7,36.43911479414925
bbh,RDS+ (RR),8,36.787694599390505
bbh,RDS+ (RR),9,37.49564922829688
bbh,LESS (RR),0,40.13822455283762
bbh,LESS (RR),1,40.02300634328448
bbh,LESS (RR),2,39.751120954007355
bbh,LESS (RR),3,40.11554142041515
bbh,LESS (RR),4,39.45361162317767
bbh,LESS (RR),5,38.65159899965103
bbh,LESS (RR),6,38.84413869521204
bbh,LESS (RR),7,34.27587154276576
bbh,LESS (RR),8,35.19619758382626
bbh,LESS (RR),9,35.16075258526163
codex,EMBED (RR),0,31.756756756756754
codex,EMBED (RR),1,31.756756756756754
codex,EMBED (RR),2,27.7027027027027
codex,EMBED (RR),3,25.675675675675674
codex,EMBED (RR),4,29.054054054054053
codex,EMBED (RR),5,29.054054054054053
codex,EMBED (RR),6,27.027027027027028
codex,EMBED (RR),7,25.675675675675674
codex,EMBED (RR),8,25.0
codex,EMBED (RR),9,25.675675675675674
codex,RDS+ (RR),0,30.405405405405407
codex,RDS+ (RR),1,27.027027027027028
codex,RDS+ (RR),2,27.7027027027027
codex,RDS+ (RR),3,26.351351351351347
codex,RDS+ (RR),4,22.972972972972975
codex,RDS+ (RR),5,27.7027027027027
codex,RDS+ (RR),6,24.324324324324326
codex,RDS+ (RR),7,31.756756756756754
codex,RDS+ (RR),8,30.405405405405407
codex,RDS+ (RR),9,29.054054054054053
codex,LESS (RR),0,24.324324324324326
codex,LESS (RR),1,26.351351351351347
codex,LESS (RR),2,24.324324324324326
codex,LESS (RR),3,31.756756756756754
codex,LESS (RR),4,25.0
codex,LESS (RR),5,30.405405405405407
codex,LESS (RR),6,25.675675675675674
codex,LESS (RR),7,23.64864864864865
codex,LESS (RR),8,27.027027027027028
codex,LESS (RR),9,29.72972972972973
gsm8k,EMBED (RR),0,17.210007581501138
gsm8k,EMBED (RR),1,14.556482183472328
gsm8k,EMBED (RR),2,14.556482183472328
gsm8k,EMBED (RR),3,16.982562547384383
gsm8k,EMBED (RR),4,16.83093252463988
gsm8k,EMBED (RR),5,17.513267626990146
gsm8k,EMBED (RR),6,17.210007581501138
gsm8k,EMBED (RR),7,18.11978771796816
gsm8k,EMBED (RR),8,17.664897649734648
gsm8k,EMBED (RR),9,13.874147081122063
gsm8k,RDS+ (RR),0,17.210007581501138
gsm8k,RDS+ (RR),1,10.993176648976497
gsm8k,RDS+ (RR),2,13.343442001516301
gsm8k,RDS+ (RR),3,15.769522365428355
gsm8k,RDS+ (RR),4,15.99696739954511
gsm8k,RDS+ (RR),5,16.67930250189538
gsm8k,RDS+ (RR),6,17.28582259287339
gsm8k,RDS+ (RR),7,17.968157695223656
gsm8k,RDS+ (RR),8,15.99696739954511
gsm8k,RDS+ (RR),9,9.401061410159212
gsm8k,LESS (RR),0,18.65049279757392
gsm8k,LESS (RR),1,18.65049279757392
gsm8k,LESS (RR),2,18.953752843062926
gsm8k,LESS (RR),3,18.802122820318424
gsm8k,LESS (RR),4,18.65049279757392
gsm8k,LESS (RR),5,15.314632297194844
gsm8k,LESS (RR),6,17.437452615617893
gsm8k,LESS (RR),7,15.769522365428355
gsm8k,LESS (RR),8,17.36163760424564
gsm8k,LESS (RR),9,16.07278241091736
tydiqa,EMBED (RR),0,44.81871719984238
tydiqa,EMBED (RR),1,37.39127128604229
tydiqa,EMBED (RR),2,30.870326852028352
tydiqa,EMBED (RR),3,24.16646987561221
tydiqa,EMBED (RR),4,28.291868173625527
tydiqa,EMBED (RR),5,19.011077484348384
tydiqa,EMBED (RR),6,17.844539141473863
tydiqa,EMBED (RR),7,16.923721776305623
tydiqa,EMBED (RR),8,17.62946525050778
tydiqa,EMBED (RR),9,17.38655104200758
tydiqa,RDS+ (RR),0,41.07908507533931
tydiqa,RDS+ (RR),1,23.367502621210193
tydiqa,RDS+ (RR),2,22.11515188021188
tydiqa,RDS+ (RR),3,20.33191551807123
tydiqa,RDS+ (RR),4,19.515762406542287
tydiqa,RDS+ (RR),5,23.170557036274452
tydiqa,RDS+ (RR),6,18.954401697099534
tydiqa,RDS+ (RR),7,18.857562473266587
tydiqa,RDS+ (RR),8,20.504511983808225
tydiqa,RDS+ (RR),9,18.180735853024878
tydiqa,LESS (RR),0,51.0456001772304
tydiqa,LESS (RR),1,48.97644226486335
tydiqa,LESS (RR),2,37.57774856173661
tydiqa,LESS (RR),3,28.22038874175987
tydiqa,LESS (RR),4,20.734642262632796
tydiqa,LESS (RR),5,17.002902276863857
tydiqa,LESS (RR),6,16.498338440651423
tydiqa,LESS (RR),7,15.313395989044599
tydiqa,LESS (RR),8,15.022319249518972
tydiqa,LESS (RR),9,15.186227961736641
mmlu_pro,EMBED (RR),0,2.958776595744681
mmlu_pro,EMBED (RR),1,3.590425531914894
mmlu_pro,EMBED (RR),2,5.5767952127659575
mmlu_pro,EMBED (RR),3,7.7044547872340425
mmlu_pro,EMBED (RR),4,7.787566489361702
mmlu_pro,EMBED (RR),5,8.136635638297872
mmlu_pro,EMBED (RR),6,7.405252659574469
mmlu_pro,EMBED (RR),7,5.925864361702128
mmlu_pro,EMBED (RR),8,4.230385638297872
mmlu_pro,EMBED (RR),9,4.180518617021277
mmlu_pro,RDS+ (RR),0,1.9448138297872342
mmlu_pro,RDS+ (RR),1,4.521276595744681
mmlu_pro,RDS+ (RR),2,5.260970744680852
mmlu_pro,RDS+ (RR),3,6.549202127659575
mmlu_pro,RDS+ (RR),4,6.615691489361702
mmlu_pro,RDS+ (RR),5,8.011968085106384
mmlu_pro,RDS+ (RR),6,8.103390957446809
mmlu_pro,RDS+ (RR),7,7.9787234042553195
mmlu_pro,RDS+ (RR),8,7.596409574468085
mmlu_pro,RDS+ (RR),9,3.332779255319149
mmlu_pro,LESS (RR),0,4.33843085106383
mmlu_pro,LESS (RR),1,8.577127659574469
mmlu_pro,LESS (RR),2,7.164228723404255
mmlu_pro,LESS (RR),3,6.657247340425531
mmlu_pro,LESS (RR),4,6.881648936170212
mmlu_pro,LESS (RR),5,6.831781914893617
mmlu_pro,LESS (RR),6,4.961768617021277
mmlu_pro,LESS (RR),7,5.950797872340425
mmlu_pro,LESS (RR),8,5.269281914893617
mmlu_pro,LESS (RR),9,4.039228723404255
